academic.year,Business (MBA),Design,Divinity,Education,GSAS,Government,Law,Medical/Dental,Public Health (1-Year MPH),inflation_rate,endowment_billions
1985,10000,9500,6200,8928,9500,9200,8800,12100,8300,3.54,3.53
1986,10750,10165,6640,9552,10266,9840,9650,13100,8826,1.91,4.63
1987,11900,10850,7100,10176,11040,10440,10700,14000,9600,3.65,5.55
1988,13300,11500,7600,10752,11645,11075,11400,14850,10575,4.08,5.86
1989,14250,12250,8100,11440,12310,11800,12307,15750,11470,4.83,6.61
1990,15350,13110,8630,12232,13085,12570,13400,16850,12515,5.39,7.11
1991,16400,14300,9200,13152,13960,13390,14475,18030,13570,4.25,7.81
1992,17500,15450,9940,14192,14860,14662,15560,19110,14790,3.03,8.14
1993,18550,16650,10540,15044,15870,15690,16730,20257,15675,2.96,8.88
1994,19750,17483,11070,15796,16856,16631,17750,21260,16775,2.61,9.73
1995,21000,18360,11630,16664,17851,17710,19080,22300,17770,2.81,10.49
1996,22700,19276,12220,17581,18838,18650,20500,23192,18840,2.93,11.04
1997,23840,20240,12830,18460,19770,19770,21700,24150,19800,2.34,11.89
1998,25000,21252,13480,19476,20600,20720,22800,25200,20890,1.55,13.01
1999,26260,22208,14160,20430,21342,21656,23900,26000,21895,2.19,14.44
2000,27250,23163,14870,21410,22054,22520,25000,27000,22950,3.38,19.2
2001,28500,24159,15620,22600,22694,23400,26000,28000,23980,2.83,18.27
2002,30050,25195,16400,23720,23370,24320,27500,29000,25050,1.59,17.5
2003,31800,26330,17220,25144,24630,26488,29500,30500,26300,2.27,19.3
2004,33650,27910,18080,26628,26066,28580,31250,32000,27670,2.68,22.6
2005,35600,29500,18984,28092,27448,30272,33120,34250,29300,3.39,25.9
2006,37500,30916,19920,29360,28752,31752,35100,35800,30620,3.24,29.2
2007,39600,32152,20712,30544,30275,33276,37100,37200,31800,2.85,34.9
2008,41900,33438,21544,31696,31456,34807,39325,38600,34085,3.84,36.9
2009,43800,34608,22080,32896,32556,36168,41500,39900,35403,-0.36,26.0
2010,46150,35992,22856,34208,33696,37576,43900,42500,36125,1.64,27.4
2011,48600,37432,23544,35568,34976,39041,45450,45050,37230,3.16,32.0
2012,51200,38880,24250,36992,36304,40017,47600,47500,38675,2.07,30.7
2013,53500,40440,25000,38480,37576,41418,49950,49875,42160,1.46,32.7
2014,56175,42056,25504,40016,38888,42868,52350,52100,45900,1.62,36.4
2015,58875,43700,26272,41616,40416,44323,54850,54200,50320,0.12,37.6
2016,61225,45440,26792,43280,41832,45697,57200,55850,55125,1.26,35.7
2017,63675,47240,27408,45008,43296,47068,59550,58050,56880,2.13,37.1
